time,IDX_POS_X,IDX_POS_Y,IDX_POS_Z,IDX_VEL_X,IDX_VEL_Y,IDX_VEL_Z,IDX_QUAT_W,IDX_QUAT_X,IDX_QUAT_Y,IDX_QUAT_Z,IDX_OMEGA_X,IDX_OMEGA_Y,IDX_OMEGA_Z
1.250000000000000278e-01,1.005470979756700300e+00,1.218477253600969483e-07,5.399581707960880023e-02,1.187917585954397642e-01,1.569058329858556906e-06,7.130496619629765886e-01,9.988385240655127673e-01,4.393321916549510848e-07,4.818301395386558744e-02,2.959136381712387228e-06,1.718556151008670375e-05,-2.216023020091310025e-01,-1.625065137128442960e-04
1.300000000000000322e-01,1.006064938549677601e+00,1.296930170093897349e-07,5.756106538942368234e-02,1.246538196402637022e-01,1.532974930922910461e-06,7.246188171345635531e-01,9.988650644466298134e-01,4.643103671770434528e-07,4.762964435419518583e-02,2.551028051520827871e-06,1.510621523862028297e-05,-2.680476480024089336e-01,-1.400801692196476265e-04
1.350000000000000366e-01,1.006688207647878919e+00,1.373578916640043010e-07,6.118415947509649871e-02,1.303747810281079555e-01,1.491815921580435151e-06,7.354209881955220407e-01,9.988967577007228371e-01,4.870625055321202882e-07,4.696027523247862934e-02,2.199114687212686014e-06,1.315192045522053731e-05,-3.105309606410792678e-01,-1.207313374384905678e-04
1.400000000000000411e-01,1.007340081553019351e+00,1.448169712719064895e-07,6.486126441607410753e-02,1.359460421787924145e-01,1.446297298230707813e-06,7.454934590682208428e-01,9.989329132292604774e-01,5.074391702726781200e-07,4.618479039090021832e-02,1.895696597678637667e-06,1.131544776762894172e-05,-3.491512025252376250e-01,-1.040437569046846875e-04
1.450000000000000455e-01,1.008019811763913420e+00,1.520484577630600359e-07,6.858873171141521841e-02,1.413603777495797131e-01,1.397084088696648620e-06,7.548717495909748054e-01,9.989728463508313894e-01,5.253390172545657455e-07,4.531282655906339329e-02,1.634114705729744329e-06,9.590727353952391927e-06,-3.840136129801143827e-01,-8.965531667094937232e-05
1.500000000000000500e-01,1.008726613652661364e+00,1.590338782065432674e-07,7.236309045937008855e-02,1.466118218536744400e-01,1.344791205111037116e-06,7.635896801687566127e-01,9.990158878277083376e-01,5.407034247835935649e-07,4.435375818957248972e-02,1.408615188632747996e-06,7.972602189465763844e-06,-4.152295183056659567e-01,-7.725179735419560522e-05
1.550000000000000544e-01,1.009459672761929827e+00,1.657578342320984636e-07,7.618103886021387883e-02,1.516955616457816847e-01,1.289984938286742603e-06,7.716794374291405800e-01,9.990613920093339706e-01,5.535112448558342523e-07,4.331668263603636465e-02,1.214229774876694521e-06,6.456623369012962681e-06,-4.429160512508109604e-01,-6.656103574548188017e-05
1.600000000000000588e-01,1.010218150570158846e+00,1.722077589235321702e-07,8.003943604735958006e-02,1.566078394062153656e-01,1.233184880209207929e-06,7.791716403529791446e-01,9.991087436454340054e-01,5.637738035533502692e-07,4.221040594248218897e-02,1.046670634355594025e-06,5.038881904465601039e-06,-4.671957895298184393e-01,-5.734761354484935766e-05
1.650000000000000633e-01,1.011001189767190001e+00,1.783736833245782025e-07,8.393529424912447856e-02,1.613458623275674242e-01,1.174866114826117027e-06,7.860954064152703147e-01,9.991573634306825102e-01,5.715302262998360139e-07,4.104342945109025476e-02,9.022385486446228687e-07,3.715871753138348214e-06,-4.881963236270701056e-01,-4.940809947660300600e-05
1.700000000000000677e-01,1.011807919078827833e+00,1.842480138987087770e-07,8.786577128120083569e-02,1.659077192773969200e-01,1.115461558740845559e-06,7.924784173301632206e-01,9.992067123514080107e-01,5.768431274703974013e-07,3.982393741147545463e-02,7.777429756811286473e-07,2.484379358793379514e-06,-5.060497643705627047e-01,-4.256683332674793052e-05
1.750000000000000722e-01,1.012637457675214847e+00,1.898253216924130059e-07,9.182816336785165623e-02,1.702923038765551123e-01,1.055364365326217905e-06,7.983469840462794620e-01,9.992562949124371707e-01,5.797946791651290846e-07,3.855978574996109937e-02,6.704326524531354559e-07,1.341395561212269923e-06,-5.208922008021906747e-01,-3.667221859817646330e-05
1.800000000000000766e-01,1.013488919194597715e+00,1.951021435190440933e-07,9.581989828808305798e-02,1.744992432954511896e-01,9.949303302168716774e-07,8.037261106855091430e-01,9.993056613285969947e-01,5.804830574880422183e-07,3.725849213191856357e-02,5.779354630843176882e-07,2.840462840140426671e-07,-5.328631187471120079e-01,-3.159348010751391938e-05
1.850000000000000810e-01,1.014361415411074940e+00,2.000767951701284432e-07,9.983852884151060703e-02,1.785288322296409991e-01,9.344802547373907350e-07,8.086395571609933386e-01,9.993544087704753220e-01,5.790192540190876226e-07,3.592722742475944891e-02,4.982064093120511820e-07,-6.904610857418409530e-07,-5.421047902024107579e-01,-2.721783930968859022e-05
1.900000000000000855e-01,1.015254059572223255e+00,2.047491964438154053e-07,1.038817266273155682e-01,1.823819715714789513e-01,8.743022378649983065e-07,8.131099002487983674e-01,9.994021817576492772e-01,5.755242335965393219e-07,3.457280864400733011e-02,4.294826387140507785e-07,-1.584878261746776519e-06,-5.487616432462383287e-01,-2.344806053755319416e-05
1.950000000000000899e-01,1.016165969430080640e+00,2.091207076331404053e-07,1.079472761285595606e-01,1.860601113461417544e-01,8.146538778258314883e-07,8.171585929233418089e-01,9.994486717947175247e-01,5.701264158131707431e-07,3.320169344044072990e-02,3.702446033154015391e-07,-2.401945818428426520e-06,-5.529796216340097104e-01,-2.020032389454654888e-05
2.000000000000000944e-01,1.017096269986811352e+00,2.131939770222695739e-07,1.120330690931762713e-01,1.895651975280702173e-01,7.557643721823324874e-07,8.208060217993536911e-01,9.994936163460834688e-01,5.629594558625085980e-07,3.181997616293411740e-02,3.191825320422342835e-07,-3.144414051121198723e-06,-5.549055426197336827e-01,-1.740238414586410914e-05
2.050000000000000988e-01,1.018044095974451668e+00,2.169727988831812448e-07,1.161370992021730358e-01,1.928996223977838265e-01,6.978365109177356342e-07,8.240715625533552302e-01,9.995367972446237426e-01,5.541602999622202230e-07,3.043338550962090480e-02,2.751675022493719387e-07,-3.815056562825698609e-06,-5.546864608403917485e-01,-1.499197896411105885e-05
2.100000000000001033e-01,1.019008594086440622e+00,2.204619814377699103e-07,1.202574570149398114e-01,1.960661781391323244e-01,6.410485610535734120e-07,8.269736332255326339e-01,9.995780386272185014e-01,5.438674910250589568e-07,2.904728375959669123e-02,2.372264872420032448e-07,-4.416677950212029554e-06,-5.524690453498176668e-01,-1.291545391835943522e-05
2.150000000000001077e-01,1.019988924977136335e+00,2.236672242430377662e-07,1.243923251810674785e-01,1.990680134134285573e-01,5.855560441377834150e-07,8.295297453286398781e-01,9.996172044867316364e-01,5.322197012675106447e-07,2.766666755875139480e-02,2.045208382873493927e-07,-4.952116754975573572e-06,-5.483989761059369084e-01,-1.112657544050061867e-05
2.200000000000001121e-01,1.020984265044203587e+00,2.265950044637266759e-07,1.285399739077106862e-01,2.019085926796558295e-01,5.314934098150506058e-07,8.317565527142836146e-01,9.996541959255906828e-01,5.193544697886570912e-07,2.629617021659170703e-02,1.763277315501031051e-07,-5.424244662253837247e-06,-5.426203654188117564e-01,-9.585506553063440557e-06
