,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
20,0.10500000000000002,"[1.003418630790181, 9.840425532281153e-08, 0.040518530754130005]","[1.0, 0.0, 1.0]","[0.09302797852100354, 1.7915011257362051e-06, 0.6586033215354573]","[0.0, 0.0, 0.0]","[0.9989456045256732, 3.5615368939471726e-07, 0.04590946705010989, 5.821111361980528e-06]","[[0.9957444519430478, -1.345222808252498e-05, 0.0921573992888106], [1.351152737336107e-05, 0.9999999999087194, -1.9535468858144007e-08], [-0.0921573992801356, 1.264639557880133e-06, 0.9957444520339156]]","[2.736272760253085e-05, -0.15875950501417113, -0.0003193314396443927]",[13.056470139379824],"[0.9991107590686381, 7.2141730520558e-07, 0.04216267440247626, -0.0]",[0.5],"[1.9914889038860957, -2.690445616504996e-05, 0.1843147985776212]","[60.22532207712004, 57.07738863368506, 53.979204951266404, 57.077122033923864]"
21,0.11000000000000003,"[1.003883770682786, 1.0736176095149255e-07, 0.04381154736180729]","[1.0, 0.0, 1.0]","[0.09892558571652028, 1.7801158895199023e-06, 0.6735809151757951]","[0.0, 0.0, 0.0]","[0.9989637472579451, 3.9014790121092025e-07, 0.04551298319170262, 5.0203422439442995e-06]","[[0.9957846416025793, -1.1597245564873726e-05, 0.09172212063579344], [1.1662648869145893e-05, 0.9999999999319757, -1.7706808457717865e-07], [-0.0917221206275006, 1.2460445656486405e-06, 0.9957846416700962]]","[2.45310224685454e-05, -0.22487289927462795, -0.0002756052056184587]",[12.859727085758797],"[0.9991879135095073, 7.35366242557985e-07, 0.04029284670976625, -0.0]",[0.5],"[1.9915692832051586, -2.319449112974745e-05, 0.18344424127158687]","[59.58996997813663, 56.652274011835814, 53.75714444974414, 56.65202409147256]"
22,0.11500000000000003,"[1.0043783986113686, 1.1626234039909207e-07, 0.047179451937686266]","[1.0, 0.0, 1.0]","[0.10468706123648172, 1.7596817615430354e-06, 0.6876289356702021]","[0.0, 0.0, 0.0]","[0.9989891759876609, 4.22875149271553e-07, 0.044951376403562684, 4.3290320031719855e-06]","[[0.995857136671576, -9.994766211315738e-06, 0.09093164048005961], [1.0065793390796101e-05, 0.9999999999492881, -3.225057144265039e-07], [-0.0909316404722249, 1.2364687230874304e-06, 0.9958571367216793]]","[2.1888839555776924e-05, -0.2858645113956835, -0.00023775658323410215]",[12.672102888597681],"[0.9992635000376884, 7.452101180145421e-07, 0.03837261382644383, -0.0]",[0.5],"[1.991714273343152, -1.9989532422631476e-05, 0.18186328096011922]","[58.97215326366116, 56.243291646790546, 53.5518322687673, 56.243056757583965]"
23,0.12000000000000004,"[1.004901833917551, 1.2506074920680725e-07, 0.05061759661603728]","[1.0, 0.0, 1.0]","[0.11029726089536328, 1.7312157311500905e-06, 0.7007926162587035]","[0.0, 0.0, 0.0]","[0.9990210458778204, 4.539168952149949e-07, 0.044237426225408306, 3.732478370920769e-06]","[[0.9959587474813695, -8.611294587332756e-06, 0.08981187694947385], [8.687329867359229e-06, 0.9999999999621614, -4.5570349975759e-07], [-0.08981187694215129, 1.2340872879082018e-06, 0.9959587475184929]]","[1.9417975477654165e-05, -0.3418399725856679, -0.00020503414818376012]",[12.493224391775556],"[0.9993368496227264, 7.511730775105594e-07, 0.03641237407201012, -0.0]",[0.5],"[1.991917494962739, -1.7222589174665512e-05, 0.1796237538989477]","[58.371857159722985, 55.85005056294029, 53.36215040996061, 55.84982935732396]"
24,0.12500000000000003,"[1.005453320222028, 1.337168278625577e-07, 0.0541215596973308]","[1.0, 0.0, 1.0]","[0.11574318162456917, 1.6956822489618234e-06, 0.7131151016020226]","[0.0, 0.0, 0.0]","[0.9990584863543577, 4.829284525400771e-07, 0.04338364706605184, 3.217858202463939e-06]","[[0.9960861002140402, -7.41748866133814e-06, 0.08838823963268912], [7.497809121996298e-06, 0.9999999999717251, -5.76714589655515e-07], [-0.08838823962591218, 1.2371755359416737e-06, 0.9960861002414909]]","[1.710350485095658e-05, -0.3929125334054427, -0.0001767682461971478]",[12.3227269868418],"[0.9994073840996841, 7.534934295108193e-07, 0.034422094742456597, -0.0]",[0.5],"[1.9921722004280804, -1.483497732267628e-05, 0.17677647926537823]","[57.78908018438821, 55.47215591010734, 53.18695498296459, 55.471947294186364]"
25,0.13000000000000003,"[1.0060320361301507, 1.421952391073668e-07, 0.05768713520534091]","[1.0, 0.0, 1.0]","[0.12101377681038782, 1.6539882184846869e-06, 0.7246375044864786]","[0.0, 0.0, 0.0]","[0.9991006192980564, 5.096354248742304e-07, 0.04240227010768988, 2.774022920316501e-06]","[[0.9962357183137873, -6.387754695026849e-06, 0.08668560154379086], [6.471559485199462e-06, 0.9999999999788244, -6.857426884956927e-07], [-0.08668560153757489, 1.244152386752875e-06, 0.9962357183340301]]","[1.4933198183553015e-05, -0.4392032032274995, -0.00015236766873115873]",[12.160255202603867],"[0.9994746161391335, 7.524181622170165e-07, 0.03241128959121449, -0.0]",[0.5],"[1.9924714366275746, -1.2775509390053698e-05, 0.17337120308758172]","[57.223834386944915, 55.109205946021895, 53.0250933400775, 55.10900903604038]"
26,0.13500000000000004,"[1.0066371050142027, 1.5046518019979023e-07, 0.06131032272777331]","[1.0, 0.0, 1.0]","[0.12609978736483243, 1.6069805632888884e-06, 0.7353989679357178]","[0.0, 0.0, 0.0]","[0.9991465750350018, 5.338285837279072e-07, 0.04130522472790107, 2.3913023108030796e-06]","[[0.9964040949640388, -5.499836637386509e-06, 0.08472826865130031], [5.586275433154366e-06, 0.9999999999840904, -7.831043989117774e-07], [-0.08472826864564537, 1.2536038755205093e-06, 0.9964040949789098]]","[1.2897015112730497e-05, -0.48084074107380914, -0.00013131390885640727]",[12.00546319523209],"[0.9995381477074284, 7.481985612314077e-07, 0.03038899927676159, -0.0]",[0.5],"[1.9928081899280776, -1.0999673274773018e-05, 0.16945653730260063]","[56.67614319997361, 54.760791262901165, 52.87541800837908, 54.76060534643791]"
27,0.14000000000000004,"[1.0072676039510269, 1.5850008301623466e-07, 0.0649873175674519]","[1.0, 0.0, 1.0]","[0.13099358711198383, 1.555445662449921e-06, 0.7454367315202528]","[0.0, 0.0, 0.0]","[0.9991955061799813, 5.553579163136197e-07, 0.040104119803002346, 2.061322714128246e-06]","[[0.9965877568089188, -4.734423208190248e-06, 0.08253994763841993], [4.822622846658482e-06, 0.9999999999879936, -8.691994434949077e-07], [-0.08253994763331374, 1.264292560855189e-06, 0.9965877568197854]]","[1.0986672298486138e-05, -0.5179615082183233, -0.00011315437146638911]",[11.858015148227434],"[0.999597667199713, 7.410867158093707e-07, 0.028363774931111686, -0.0]",[0.5],"[1.9931755136178375, -9.468846416380496e-06, 0.16507989527683986]","[56.146037838419026, 54.42649535471834, 52.73679828647204, 54.42631985693167]"
28,0.14500000000000005,"[1.0079225718865867, 1.6627731132848426e-07, 0.06871450122505315]","[1.0, 0.0, 1.0]","[0.13568904117009112, 1.500110114282198e-06, 0.7547862008056241]","[0.0, 0.0, 0.0]","[0.9992465994005618, 5.741263423255582e-07, 0.0388102252367405, 1.7768422136461438e-06]","[[0.9967833191411549, -4.074784504668557e-06, 0.08014371257521663], [4.163873066306105e-06, 0.9999999999908852, -9.444872024439955e-07], [-0.08014371257063754, 1.275157334764192e-06, 0.9967833191490362]]","[9.195280315952897e-06, -0.5507091942119074, -9.749534632567216e-05]",[11.717585590261981],"[0.9996529454348771, 7.313327424566892e-07, 0.026343664947000807, -0.0]",[0.5],"[1.9935666382823098, -8.149569009337114e-06, 0.16028742515043326]","[55.633552876622986, 54.10589594843447, 52.608130034626434, 54.1057304031929]"
29,0.15000000000000005,"[1.008601017092437, 1.7377786189989525e-07, 0.07248843222908127]","[1.0, 0.0, 1.0]","[0.14018137610709946, 1.4416424189556474e-06, 0.7634810190107061]","[0.0, 0.0, 0.0]","[0.9992990851834351, 5.900834320219363e-07, 0.03743445403442384, 1.531603409994595e-06]","[[0.9969875328278328, -3.5064431339945498e-06, 0.07756197118160589], [3.5955710246345533e-06, 0.9999999999930266, -1.0094682973466829e-06], [-0.07756197117752535, 1.2853068834337045e-06, 0.996987532833488]]","[7.517041916344152e-06, -0.5792344289963174, -8.399520087678562e-05]",[11.583859637836868],"[0.9997038307040457, 7.191825878197437e-07, 0.024336205027482002, -0.0]",[0.5],"[1.9939750656556656, -7.0128862679890995e-06, 0.15512394236321178]","[55.1387214356878, 53.7985667324893, 52.488343979575866, 53.79841075799645]"
