,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
20,0.10500000000000002,"[1.0034004123860636, 8.930923521809383e-08, 0.040397024666457546]","[1.0, 0.0, 1.0]","[0.09416005014136784, 1.6465762134736499e-06, 0.6582923194001953]","[0.0, 0.0, 0.0]","[0.9987972559093821, 3.2211243813321083e-07, 0.04903102649477757, 5.352835527936608e-06]","[[0.9952276378219715, -1.236727329995273e-05, 0.09758047326360643], [1.242398895094015e-05, 0.9999999999228221, 2.6399984972940073e-08], [-0.09758047325640186, 1.186064726971402e-06, 0.9952276378988126]]","[2.6956606754220052e-05, 0.00555704556512486, -0.000293556815078234]",[13.07828198074475],"[0.998799400911877, 6.606408431676852e-07, 0.048987312006674145, -0.0]",[0.5],"[2.176769707559683, -2.7049797314073804e-05, 0.21342877767583907]","[60.10796717987439, 57.129579776733834, 54.20115555330836, 57.12932796268277]"
21,0.11000000000000003,"[1.0038712126367704, 9.754211628546208e-08, 0.043688486263458524]","[1.0, 0.0, 1.0]","[0.10046834025257467, 1.6389414031947382e-06, 0.6733396843568322]","[0.0, 0.0, 0.0]","[0.9987965746475107, 3.5336505541398566e-07, 0.04904490239528197, 4.616526373839556e-06]","[[0.9951919168244312, -1.0661207866297854e-05, 0.09794410943825656], [1.072438188025148e-05, 0.9999999999424869, -1.1853999741857016e-07], [-0.09794410943135969, 1.1683600797883565e-06, 0.9951919168815294]]","[2.4270149957283143e-05, -0.05759970848608484, -0.0002533589242135234]",[12.881407871054346],"[0.998866824701118, 6.745565209160337e-07, 0.047592714894729625, -0.0]",[0.5],"[2.189763206987342, -2.3458310234428497e-05, 0.21551060007943454]","[59.507650553334095, 56.70397396734626, 53.94064269051331, 56.703737082502]"
22,0.11500000000000003,"[1.0043735543380332, 1.0573682330143577e-07, 0.04705518468524268]","[1.0, 0.0, 1.0]","[0.10668638392976915, 1.622881187468113e-06, 0.6874520672389919]","[0.0, 0.0, 0.0]","[0.9988036267249215, 3.8356727520672623e-07, 0.04890107590993327, 3.980864566263563e-06]","[[0.9951891950554498, -9.187279948616315e-06, 0.09797176103592084], [9.256602967227044e-06, 0.9999999999571255, -2.5304544307482127e-07], [-0.09797176102939556, 1.1587137847156448e-06, 0.9951891950978247]]","[2.1755943146536087e-05, -0.1164614735463202, -0.00021856609117401176]",[12.693542734042836],"[0.9989351372663048, 6.847202438888955e-07, 0.04613666149907374, -0.0]",[0.5],"[2.202795042322089, -2.0335524967299863e-05, 0.2168549563939611]","[58.92404952938846, 56.294308330548155, 53.69754149250663, 56.29408502095683]"
23,0.12000000000000004,"[1.004906986257682, 1.1385122923877633e-07, 0.05049244502143764]","[1.0, 0.0, 1.0]","[0.11279869980366092, 1.5992992242641227e-06, 0.7006744116342322]","[0.0, 0.0, 0.0]","[0.9988178221201957, 4.123307958677251e-07, 0.04861026849461502, 3.4323315098302045e-06]","[[0.9952173695180073, -7.914690227686657e-06, 0.09768514394223797], [7.989717637452458e-06, 0.9999999999680113, -3.768796504549124e-07], [-0.09768514393613024, 1.155553891822985e-06, 0.9952173695494076]]","[1.9398642690748605e-05, -0.17110232656987584, -0.0001884872444202413]",[12.514320248135249],"[0.9990036660806478, 6.913194856042096e-07, 0.0446281879191582, -0.0]",[0.5],"[2.2158616273849816, -1.7622138545133623e-05, 0.21749696966403986]","[58.357040560636825, 55.90019671425021, 53.47088602931744, 55.89998586482211]"
24,0.12500000000000003,"[1.0054709797567003, 1.2184772536009695e-07, 0.0539958170796088]","[1.0, 0.0, 1.0]","[0.11879175859543976, 1.569058329858557e-06, 0.7130496619629766]","[0.0, 0.0, 0.0]","[0.9988385240655128, 4.393321916549511e-07, 0.04818301395386559, 2.9591363817123872e-06]","[[0.9952740835702014, -6.816460745494799e-06, 0.09710560502376919], [6.896634788277713e-06, 0.9999999999760985, -4.899935825326291e-07], [-0.09710560501810817, 1.1573798075541235e-06, 0.9952740835934232]]","[1.7185561510086704e-05, -0.221602302009131, -0.0001625065137128443]",[12.34338386607423],"[0.9990717977162135, 6.945570360116958e-07, 0.04307601429578913, -0.0]",[0.5],"[2.228958692074728, -1.526575410599962e-05, 0.21747213751460945]","[57.806517236841536, 55.521252152540974, 53.25968156739867, 55.521052851816755]"
25,0.13000000000000003,"[1.0060649385496776, 1.2969301700938973e-07, 0.05756106538942368]","[1.0, 0.0, 1.0]","[0.1246538196402637, 1.5329749309229105e-06, 0.7246188171345636]","[0.0, 0.0, 0.0]","[0.9988650644466298, 4.6431036717704345e-07, 0.047629644354195186, 2.551028051520828e-06]","[[0.9953567943151302, -5.869062133794541e-06, 0.09625410108801433], [5.9537355302781125e-06, 0.9999999999821011, -5.924836166313182e-07], [-0.09625410108281415, 1.1628040549170756e-06, 0.9953567943322572]]","[1.5106215238620283e-05, -0.26804764800240893, -0.00014008016921964763]",[12.180387076626898],"[0.9991389805038257, 6.946459122735882e-07, 0.04148852416383589, -0.0]",[0.5],"[2.242081418344917, -1.322029972412726e-05, 0.2168162539518516]","[57.27239118619689, 55.1570836142234, 53.06291861791984, 55.15689512077087]"
26,0.13500000000000004,"[1.006688207647879, 1.373578916640043e-07, 0.0611841594750965]","[1.0, 0.0, 1.0]","[0.13037478102810796, 1.4918159215804352e-06, 0.735420988195522]","[0.0, 0.0, 0.0]","[0.9988967577007228, 4.870625055321203e-07, 0.04696027523247863, 2.199114687212686e-06]","[[0.9954628339443702, -5.052035722857805e-06, 0.09515117555721535], [5.140495473492239e-06, 0.9999999999865532, -6.845576920040463e-07], [-0.09515117555247747, 1.1705759273300962e-06, 0.9954628339569545]]","[1.3151920455220537e-05, -0.31053096064107927, -0.00012073133743849057]",[12.024993604843445],"[0.9992047259652184, 6.918052347473592e-07, 0.039873745852306075, -0.0]",[0.5],"[2.2552245678654397, -1.1445404781992558e-05, 0.2155653244507785]","[56.75459072512864, 54.80729484942797, 52.87958435909036, 54.80711656130342]"
27,0.14000000000000004,"[1.0073400815530194, 1.448169712719065e-07, 0.06486126441607411]","[1.0, 0.0, 1.0]","[0.13594604217879241, 1.4462972982307078e-06, 0.7454934590682208]","[0.0, 0.0, 0.0]","[0.9989329132292605, 5.074391702726781e-07, 0.04618479039090022, 1.8956965976786377e-06]","[[0.9955894650905076, -4.347631883107164e-06, 0.09381693334305514], [4.439122240368001e-06, 0.9999999999898534, -7.665082531886629e-07], [-0.09381693333877071, 1.1795923771058383e-06, 0.9955894650997054]]","[1.1315447767628942e-05, -0.3491512025252376, -0.00010404375690468469]",[11.876877557513703],"[0.9992686091205053, 6.862568886156882e-07, 0.03823933610694271, -0.0]",[0.5],"[2.268382600899575, -9.905782317473595e-06, 0.21375547525083038]","[56.253058106790455, 54.47148450496955, 52.70867222312055, 54.47131593277569]"
28,0.14500000000000005,"[1.0080198117639134, 1.5204845776306004e-07, 0.06858873171141522]","[1.0, 0.0, 1.0]","[0.1413603777495797, 1.3970840886966486e-06, 0.7548717495909748]","[0.0, 0.0, 0.0]","[0.9989728463508314, 5.253390172545657e-07, 0.04531282655906339, 1.6341147057297443e-06]","[[0.99573393026591, -3.740475506405487e-06, 0.09227101442605336], [3.834219393266191e-06, 0.9999999999922977, -8.386906772771894e-07], [-0.09227101442220555, 1.1889000773113118e-06, 0.9957339302725823]]","[9.590727353952392e-06, -0.3840136129801144, -8.965531667094937e-05]",[11.735723519386204],"[0.9993302677833993, 6.782228253679322e-07, 0.03659256606880076, -0.0]",[0.5],"[2.2815497859888922, -8.57064405634657e-06, 0.21142285787180173]","[55.767745939298564, 54.149246979246186, 52.54919012317301, 54.149087722834864]"
29,0.15000000000000005,"[1.0087266136526614, 1.5903387820654327e-07, 0.07236309045937009]","[1.0, 0.0, 1.0]","[0.14661182185367444, 1.3447912051110371e-06, 0.7635896801687566]","[0.0, 0.0, 0.0]","[0.9990158878277083, 5.407034247835936e-07, 0.04435375818957249, 1.408615188632748e-06]","[[0.9958934954931159, -3.2172632461460585e-06, 0.09053256664953517], [3.3124816292403187e-06, 0.9999999999941075, -9.015061142551907e-07], [-0.0905325666461013, 1.1976915392085782e-06, 0.9958934954979046]]","[7.972602189465764e-06, -0.41522951830566596, -7.72517973541956e-05]",[11.60122660483897],"[0.9993894009631886, 6.679228860192261e-07, 0.03494030970087337, -0.0]",[0.5],"[2.294720300116287, -7.413161462706246e-06, 0.20860354993025973]","[55.29861316300884, 53.840173680263796, 52.40016759989016, 53.84002340888538]"
